id,ru
A_FEW_DAYS_LATER,Несколько дней спустя
MORNING,Утро
D_UL_SINGER_1,"О, привет, это же снова ты!"
D_UL_SINGER_2,Доброе утро.
D_UL_SINGER_3,У вас уже началась учеба?
D_UL_SINGER_4,"Да, здание ведь почти не пострадало, только в подвал теперь не спуститься."
D_UL_SINGER_5,А тебе эта ситуация ничего не напоминает?
D_UL_SINGER_6,Не думаю.
D_UL_SINGER_7,Тогда ладно. Удачи в учебе!
D_UL_SINGER_8,Спасибо.
D_UL_TEACHER_1,"Знаете, а ведь он занимался довольно интересными исследованиями."
D_UL_TEACHER_2,"Порой удивляешься, как всё в нашем мире взаимосвязанно."
D_UL_TEACHER_3,"Он был уверен, что для всего можно найти формулу, объясняющую даже самые сложные вещи."
D_UL_TEACHER_4,"Надеюсь, что и вы когда-нибудь откроете что-нибудь важное."
SEPTEMBER_21,21 сентября
INITIATION_TO_STUDENTS,Посвящение в студенты
D_UL_SPEAKER_1,"… Жаль, конечно, что ваша студенческая жизнь так началась."
D_UL_SPEAKER_2,Но теперь уже ничего не поделать.
D_UL_SPEAKER_3,"На этом все, можете делать все, что душе угодно."
D_UL_SPEAKER_4,Рядом есть домики для желающих поспать.
STREET,Улица
