id,en
D_DSP_STREET_1,How are you?
D_DSP_STREET_2,It seems to be the same.
D_DSP_STREET_3,Okay. Good luck then.
BASEMENT,Basement
ROOM,Room
DSP_CHAT_1,"By the way, the news was talking about the search"
DSP_CHAT_2,The police were checking the basement
DSP_CHAT_3,They didn't say anything else
NOVEMBER,November
D_DSP_STRANGER_1,"Oh, you were looking for that missing girl, weren't you?"
D_DSP_STRANGER_2,"Yes, it's me."
D_DSP_STRANGER_3,Why was your friend at the train station yesterday?
D_DSP_STRANGER_4,Have you stopped searching yet?
D_DSP_STRANGER_5,Train station?
D_DESPAIR_BRIDGE_1,Wait!
D_DESPAIR_BRIDGE_2,Neo?
D_DESPAIR_BRIDGE_3,Why did you leave? You didn't even say anything.
D_DESPAIR_BRIDGE_4,Sorry.
D_DESPAIR_BRIDGE_5,…
D_DESPAIR_BRIDGE_6,That's the singer!
D_DESPAIR_BRIDGE_7,What are you doing here?
D_DESPAIR_BRIDGE_8,Forgive me.
D_DESPAIR_BRIDGE_9,For what?
