id,ru,en
NEW_CHAPTER_UNLOCKED,Доступна новая глава,New chapter unlocked
HALL,Актовый зал,Assembly Hall
GHOUSE,Дом садовника,Gardener's house
MATH,Механико-математический факультет,Faculty of Mechanics and Mathematics
NS,Факультет естественных наук,Faculty of Natural Sciences
HM,Гуманитарный факультет,Faculty of Humanities
STORE,Магазин 'Четверочка',Supermarket 'Chetverochka'
TICKETS,Касса,Ticket window
ENTER_THE_DORMITORY,Зайти в общагу,Enter the dormitory
SEPTEMBER1,Первое сентября,First of september
BUSSTOP,Автобусная остановка,Bus stop
RETURN,Вернуться,Return
MENU,Меню,Menu
OPENSITE,Открыть сайт,Open site
NOTLOADED,Игра не загружена,Game not loaded
NOTSAVED,Не сохранено,Not saved
NOTEXIST,Файл не существует,The file does not exist
SELECT,Выбрать,Select
SLEEP,Лечь спать,Go to sleep
CHAT,Чат,Chat
OPENCHAT,Открыть чат,Open chat
CLOSED,Заперто,Closed
NOENTER,Вы не можете сюда зайти,You cannot come here
1ST_FLOOR,1 этаж,1st floor
2ND_FLOOR,2 этаж,2nd floor
3RD_FLOOR,3 этаж,3rd floor
EXITBUILDING,Выйти из здания,Exit building
