id,en,ru
D_DESPAIR_STREET_1,,Как дела?
D_DESPAIR_STREET_2,,Вроде бы все так же.
D_DESPAIR_STREET_3,,"Ладно. Обращайся, если что."
D_DESPAIR_CHAT_1,,"Кстати, в новостях говорили про поиски"
D_DESPAIR_CHAT_2,,Полиция проверяла подвал
D_DESPAIR_CHAT_3,,Больше ничего не сказали
D_DESPAIR_MESSAGE_1,,"О, как хорошо, что я тебя сейчас встретил"
D_DESPAIR_MESSAGE_2,,Мне только что пришло сообщение от Юры.
D_DESPAIR_MESSAGE_3,,Что за сообщение?
D_DESPAIR_MESSAGE_4,,"Вот, почитай сам."
MESSAGE_TEXT,,"Это отложенное сообщение. Оно придет на утро следующего дня. Просто чтобы не было недопониманий, я тоже пошел в подвал. Не могу я иначе, не по себе от происходящего."
D_DESPAIR_MESSAGE_5,,Ты его видел?
D_DESPAIR_MESSAGE_6,,"Нет, я в последний раз видел его в саду вчера."
D_DESPAIR_MESSAGE_7,,"Он бы ведь отменил сообщение, если бы все прошло хорошо?"
D_DESPAIR_MESSAGE_8,,Думаю да
D_DESPAIR_STRANGER_1,,"О, ты же друг того пропавшего студента?"
D_DESPAIR_STRANGER_2,,Ну да
D_DESPAIR_STRANGER_3,,А почему еще один ваш друг вчера был на вокзале?
D_DESPAIR_STRANGER_4,,Вокзале?
D_DESPAIR_BRIDGE_1,,Подожди!
D_DESPAIR_BRIDGE_2,,Леша?
D_DESPAIR_BRIDGE_3,,Зачем ты тогда уехал? Даже ничего не сказал.
D_DESPAIR_BRIDGE_4,,Прости.
D_DESPAIR_BRIDGE_5,,И зачем? Ради чего тогда все усилия?
D_DESPAIR_BRIDGE_6,,Это сложно объяснить.
D_DESPAIR_BRIDGE_7,,…
D_DESPAIR_BRIDGE_8,,Это же тот певец!
D_DESPAIR_BRIDGE_9,,Что вы тут делаете?
D_DESPAIR_BRIDGE_10,,Простите меня.
D_DESPAIR_BRIDGE_11,,За что?
