id,ru
D_FD_SINGER_1,"О, привет, я Мистер Певец!"
D_FD_SINGER_2,Меня не часто замечают в последнее время.
D_FD_SINGER_3,"Я думаю, мы ещё встретимся. Не опаздывай."
D_FD_GARDENER_1,Доброе утро! Тебя как зовут?
D_FD_GARDENER_2,"Моё имя Алексей, но знакомые зовут меня просто Алекс."
D_FD_GARDENER_3,"Алекс, скажи мне, ты не замечал ничего необычного?"
D_FD_GARDENER_4,Необычного?
D_FD_GARDENER_5,"Да, что-нибудь необычное, неестественное, странное…"
D_FD_GARDENER_6,Разве что того певца перед входом
D_FD_GARDENER_7,Он почему-то называет себя «Мистер Певец»…
D_FD_GARDENER_8,"Нее, с ним всё в порядке, я его немного знаю."
D_FD_GARDENER_9,"Ладно, спасибо тебе в любом случае."
D_FD_GARDENER_10,Заходи ещё.
D_FD_GARDENER_11,Я попробую.
D_FD_PATH_1,"Привет, ты же с математического факультета?"
D_FD_PATH_2,Тебе нужно пройти немного вниз и налево.
D_FD_PATH_3,Спасибо!
D_FD_GF_1,"О, привет."
D_FD_GF_2,У вас уже всё закончилось?
D_FD_GF_3,"Да, теперь хочу погулять по университету."
D_FD_GF_4,"Ладно, я пойду."
D_FD_SPEAKER_1,Вы выбрали правильный путь.
D_FD_SPEAKER_2,Не оглядывайтесь на неудачи и идите всегда вперед.
D_FD_SPEAKER_3,Поздравляю вас с началом студенческой жизни!
D_FD_GUARD_1,"Простите, турникеты не работают без электричества"
D_FD_GUARD_2,Может есть другой путь?
D_FD_GUARD_3,"Меня оштрафуют, если я вас всех вот так выпущу. Честно, простите."
D_FD_GUARD_4,Электричества все еще нет...
D_FD_PASSAGE_1,Я лучше подожду...
PASSAGE,Проход
D_FD_LIFEGUARDS_1,У выхода стояло множество машин спасателей. 
D_FD_LIFEGUARDS_2,"Пожалуйста, расходитесь по домам."
D_FD_LIFEGUARDS_3,Существует вероятность еще одного взрыва.
FD_CHAT_1,Все целы?
FD_CHAT_2,Вроде да
FD_CHAT_3,А что с тем преподавателем?
FD_CHAT_4,Преподавателем?
FD_CHAT_5,"Да, никто не знает, где ваш преподаватель матанализа"
FD_CHAT_6,Хотя рано делать выводы
FD_CHAT_7,Спасатели пока ничего не говорят
D_FD_REQUEST_1,"Группа #!@%$, пожалуйста, подойдите к преподавателю матанализа на первом этаже."
D_FD_REQUEST_2,"Да, хорошо."
D_FD_TEACHER_1,"Здравствуйте, меня зовут Андрей, я ваш преподаватель матанализа."
D_FD_TEACHER_2,"Уже завтра будет первая пара, не забудьте принести большую тетрадь для графиков."
D_FD_TEACHER_3,"И остальным передайте, хорошо?"
D_FD_TEACHER_4,"Хорошо, мы передадим."
D_FD_LESSON_1,"О, хорошая работа."
D_FD_LESSON_2,А домашнюю работу получилось сделать?
D_FD_LESSON_3,"Да, вот она."
D_FD_LESSON_4,…
D_FD_LESSON_5,Молодец. Все бы так работали.
D_FD_LESSON_6,Мне просто нравится ваш предмет.
D_FD_EVENING_0,Пора идти домой…
D_FD_EVENING_1,"О, я же говорил, что мы ещё встретимся."
D_FD_EVENING_2,"Ну, как твои дела с учёбой?"
D_FD_EVENING_3,"Довольно хорошо, особенно мне нравятся пары матанализа."
D_FD_EVENING_4,Хороший преподаватель нам попался.
D_FD_EVENING_5,А как ваши дела?
D_FD_EVENING_6,"Да вот, сижу, пою. Всё как обычно."
D_FD_EVENING_7,Не поможешь донести вещи до остановки? Это недалеко.
D_FD_EVENING_8,Хорошо.
SEPTEMBER11,11 сентября
D_FD_BLACKOUT_1,"Подождите, я проверю, что случилось"
D_FD_CITY_1,Какой же сегодня хороший вечер.
D_FD_CITY_2,Это точно.
D_FD_CITY_3,Спасибо тебе за помощь.
D_FD_CITY_4,Да не за что.
D_FD_CITY_5,Да не за что…
D_FD_MORNING_1,"Тогда ещё никто не мог представить, что нас ждёт."
