id,ru,en
CHAPTER_1,Глава 1,Chapter 1
CHAPTER_2,Глава 2,Chapter 2
CHAPTER_3,Глава 3,Chapter 3
CHAPTER_1_NAME,Мечты и реальность,Dreams and reality
CHAPTER_2_NAME,Тайные друзья,Secret friends
CHAPTER_3_NAME,Луч надежды,Ray of hope
BEGINNING,Начало,Beginning
FIRST_DAYS,Первые дни,First days
ACCIDENT,Происшествие,Accident
FUNERAL,Похороны,Funeral
NEW_BEGINNING,Новое начало,New beginning
CELEBRATION,Празднование,Celebration
DISAPPEARANCE,Исчезновение,Disappearance
SECRET_SOCIETY,Тайное Общество,Secret Society
DESPAIR,Отчаяние,Despair
HOPE,Надежда,Hope
