id,en,ru
D_DSP_1,"Excuse me, can you help?","Простите, вы не поможете?"
D_DSP_2,"I’ve lost my friend, you won’t tell me, maybe he’s in a dormitory?","Я тут потерял своего друга, вы не подскажете, может он в общежитии?"
D_DSP_3,Do you know room’s number?,Знаете номер комнаты?
D_DSP_4,225,225
D_DSP_5,"Mmm, no, there is no one in the room 225 right now","Ммм, нет, в 225 сейчас никого нет"
D_DSP_6,Okay. Thank.,Ясно. Спасибо.
D_DSP_POLICE_1,The police don't seem to help,"Похоже, полиция не поможет"
D_DSP_POLICE_2,They don’t even take me seriously,Они ведь даже не воспринимают меня всерьез
D_DSP_WALK_1,"For some reason, today I really want to walk along that street.",Почему-то мне сегодня очень хочется прогуляться по той улице.
D_DSP_THOUGHTS_1,"It feels like I've already been here, but I don’t remember when.","Такое чувство, что я здесь уже был, но не помню когда."
D_DSP_THOUGHTS_2,Although in this city all houses are so similar that it is impossible to distinguish one from another.,"Хотя в этом городе все дома так похожи, что отличить один от другого бывает невозможно."
D_DSP_THOUGHTS_3,And why do I even go here?,И зачем я вообще здесь хожу?
D_DSP_THOUGHTS_4,But maybe there is something good in this. The New Year’s atmosphere is beautiful in its own way.,Но может в этом что-то и есть. Новогодняя атмосфера по-своему прекрасна.
D_DSP_TALK_1,,Присаживайся.
D_DSP_TALK_2,,Вы же садовник из нашего университета. А что вы тут делаете?
D_DSP_TALK_3,,Наслаждаюсь атмосферой.
D_DSP_TALK_4,,Так далеко?
D_DSP_TALK_5,,Я живу в паре минут отсюда.
D_DSP_TALK_6,,А вам не далековато ездить на работу?
D_DSP_TALK_7,,А я там и не работаю. Я уже давно на пенсии. Мне просто нравится ухаживать за тем садом. Вот я и прихожу раз в несколько дней.
D_DSP_TALK_8,,Да уж. Красивое место вы нашли.
D_DSP_TALK_9,,"Я недавно принес сюда скамейку. Не то чтобы совсем сам, мне помогли. Теперь здесь еще приятнее."
D_DSP_TALK_10,,И зачем вам все это?
D_DSP_TALK_11,,"Просто так, захотелось. Ты мне лучше вот что скажи: ладно я старый, а ты-то почему один? Новый год ведь уже скоро."
D_DSP_TALK_12,,"Я даже не знаю, не сложилось, вот и всё. Это не мой родной город, тут у меня еще нет друзей."
D_DSP_TALK_13,,…
D_DSP_TALK_14,,"А в последнее время у меня чувство, что я потерял нечто важное."
D_DSP_MS_1,,"Знаешь, я сегодня собираюсь уезжать. Жаль, что всё так обернулось."
D_DSP_MS_2,,"Приходи сегодня на крышу географического факультета, пожалуйста."
D_DSP_GARDENER_1,,Доброе утро
D_DSP_GARDENER_2,,"О, доброе утро."
D_DSP_GARDENER_3,,"Вы слышали, Мистер Дудец уезжает?"
D_DSP_GARDENER_4,,"Нет, я его не часто вижу, а разговариваем мы еще реже"
D_DSP_GARDENER_5,,То есть вы не знаете почему?
D_DSP_GARDENER_6,,Может он тебе сам расскажет?
D_DSP_GARDENER_7,,Возможно
D_DSP_STRANGER_1,,Это же ты!
D_DSP_STRANGER_2,,Ты меня знаешь?
D_DSP_STRANGER_3,,Я в этом уверена! Мне рассказывали о тебе!
D_DSP_STRANGER_4,,Кто?
D_DSP_STRANGER_5,,Не помню. Но меня не покидает странное чувство.
D_DSP_STRANGER_6,,А я тут при чем?
D_DSP_STRANGER_7,,"Я не знаю, но я не обманываю."
D_DSP_STRANGER_8,,"Напишешь, если вспомнишь, хорошо? Мне уже нужно бежать."
D_DSP_ROOF_1,,А как вы вообще прошли сюда?
D_DSP_ROOF_2,,"И это все, что тебя волнует?"
D_DSP_ROOF_3,,Вы про что?
D_DSP_ROOF_4,,"Ты же совсем прекратил поиски. Может тебе нужна помощь? Я верю, что здесь что-то не чисто."
D_DSP_ROOF_5,,Поиски? Вы о чем?
D_DSP_ROOF_6,,Шутишь? Ты не знаешь про пропажу девушки?
D_DSP_ROOF_7,,Какой девушки?
D_DSP_ROOF_8,,"... эх, жаль. Я до последнего не хотел верить, что такое возможно."
D_DSP_ROOF_9,,Может быть вы мне подскажите тогда?
D_DSP_ROOF_10,,"Прости, я даже не знаю, что тебе сказать."
D_DSP_ROOF_11,,"Ладно, прости, что позвал тебя."
D_DSP_ROOF_12,,Спасибо!
D_DSP_NIGHT_1,,Я забыл.
D_DSP_NIGHT_2,,Я все забыл.
D_DSP_NIGHT_3,,Но ведь так не бывает.
D_DSP_NIGHT_4,,Но это произошло.
D_DSP_NIGHT_5,,"Я не мог забыть такое. Даже если забыл я, не могли же все разом забыть."
D_DSP_BRIDGE_1,,Ты тоже вспомнил?
D_DSP_BRIDGE_2,,Да. Что мы теперь будем делать?
D_DSP_BRIDGE_3,,Я ничего не понимаю.
D_DSP_BRIDGE_4,,Надо успокоиться. Может пойдем ко мне? Тут уже становится холодно.
D_DSP_BRIDGE_5,,"Л-л-ладно, давай."
