id,ru
NEW_CHAPTER_UNLOCKED,Доступна новая глава
HALL,Актовый зал
GHOUSE,Дом садовника
MATH,Механико-математический факультет
NS,Факультет естественных наук
HM,Гуманитарный факультет
STORE,Магазин 'Четверочка'
TICKETS,Касса
HOSTEL,Зайти в общагу
SEPTEMBER1,Первое сентября
BUSSTOP,Автобусная остановка
RETURN,Вернуться
MENU,Меню
OPENSITE,Открыть сайт
NOTLOADED,Игра не загружена
NOTSAVED,Не сохранено
NOTEXIST,Файл не существует
SELECT,Выбрать
SLEEP,Лечь спать
CHAT,Чат
OPENCHAT,Открыть чат
CLOSED,Заперто
NOENTER,Вы не можете сюда зайти
1ST_FLOOR,1 этаж
2ND_FLOOR,2 этаж
3RD_FLOOR,3 этаж
EXITBUILDING,Выйти из здания
