id,en
D_NB_SINGER_1,"Hello, do you know me?"
D_NB_SINGER_2,I do not think so…
D_NB_SINGER_3,They call me Mister Singer!
D_NB_SINGER_4,I think we'll meet again. Do not be late.
D_NB_TALK_1,Something is wrong? You're kind of lost.
D_NB_TALK_2,".. I was just thinking. A very strange feeling, not even described in words."
D_NB_TALK_3,"Wow, maybe you will go with us then?"
D_NB_TALK_4,Where?
D_NB_TALK_5,I do not know. Somewhere. You haven’t been anywhere else. You sat all summer in your room.
D_NB_TALK_6,...
D_NB_TALK_7,"Come on, come on!"
A_COUPLE_OF_HOURS_LATER,A couple of hours later ...
D_NB_SUNSET_1,Thank!
D_NB_SUNSET_2,"You, too. I did not think that there are still people who appreciate such simple moments."
D_NB_SUNSET_3,I just love beautiful sunsets.
D_NB_SUNSET_4,Nevertheless thank you.
NB_MESSAGE1,Do not forget!
NB_MESSAGE2,Tomorrow we have initiation into students
NB_MESSAGE3,The bus will take you to the place of celebration
NB_MESSAGE4,"Yes, be sure to come, last year was a lot of fun!"
YOU_ARE_BACK,You are back!
