id,ru
JUNE_28,28 июня
GRADUATION,Выпускной
D_BEGINNING_NIGHT_1,Удачи!
D_BEGINNING_NIGHT_2,Тебе тоже.
JUNE_29,29 июня
EARLY_MORNING,Раннее утро
D_BEGINNING_TRAIN_1,"Эх, жаль, что всё закончилось"
D_BEGINNING_TRAIN_2,"Да ладно, нас ещё столько всего ждёт впереди"
D_BEGINNING_TRAIN_3,…
D_BEGINNING_TRAIN_4,"Смотри, мы уже скоро приедем!"
D_BEGINNING_RECTOR_1,Мехмат?
D_BEGINNING_RECTOR_2,Да
D_BEGINNING_RECTOR_3,"… ладно, с документами все хорошо. Вы же из другого города?"
D_BEGINNING_RECTOR_4,Верно
D_BEGINNING_RECTOR_5,"Тогда зайдите еще в 225 кабинет, вам там помогут"
D_BEGINNING_GUIDE_1,"Привет, я тут помогаю с заселением."
D_BEGINNING_GUIDE_2,Давай найдем тебе комнату.
