id,en
JUNE_28,June 28
GRADUATION,Graduation
D_BEGINNING_NIGHT_1,Good luck!
D_BEGINNING_NIGHT_2,You too.
JUNE_29,June 29
EARLY_MORNING,Early morning
D_BEGINNING_TRAIN_1,
D_BEGINNING_TRAIN_2,"Come on, there's so much more to come"
D_BEGINNING_TRAIN_3,…
D_BEGINNING_TRAIN_4,"Look, we'll be there soon!"
D_BEGINNING_RECTOR_1,Faculty of Mathematics?
D_BEGINNING_RECTOR_2,Yes
D_BEGINNING_RECTOR_3,"… okay, everything is fine with the documents. Are you from another city?"
D_BEGINNING_RECTOR_4,Right
D_BEGINNING_RECTOR_5,"Then go to cabinet 225, they will help you there"
D_BEGINNING_GUIDE_1,"Hi, I'm here to help with the settlement."
D_BEGINNING_GUIDE_2,Let's find you a room.
