id,en
NEW_CHAPTER_UNLOCKED,New chapter unlocked
HALL,Assembly Hall
GHOUSE,Gardener's house
MATH,Faculty of Mechanics and Mathematics
NS,Faculty of Natural Sciences
HM,Faculty of Humanities
STORE,Supermarket 'Chetverochka'
TICKETS,Ticket window
HOSTEL,Enter the hostel
SEPTEMBER1,First of september
BUSSTOP,Bus stop
RETURN,Return
MENU,Menu
OPENSITE,Open site
NOTLOADED,Game not loaded
NOTSAVED,Not saved
NOTEXIST,The file does not exist
SELECT,Select
SLEEP,Go to sleep
CHAT,Chat
OPENCHAT,Open chat
CLOSED,Closed
NOENTER,You cannot come here
1ST_FLOOR,1st floor
2ND_FLOOR,2nd floor
3RD_FLOOR,3rd floor
EXITBUILDING,Exit building
