id,en,ru
D_SS_RIVER_1,"Hey, have you lost anything? You are looking so closely.","Эй, ты потерял что-нибудь? Ты так внимательно смотришь."
D_SS_RIVER_2,"No, I was just thinking.","Да нет, я просто задумался."
D_SS_RIVER_3,…,…
D_SS_RIVER_4,What are you thinking about?,А о чем ты задумался?
D_SS_RIVER_5,It will sound pretty ridiculous.,Это будет звучать довольно нелепо.
D_SS_RIVER_6,Tell me!,Расскажи!
D_SS_RIVER_7,"You know, there are many stories about our university.","Знаешь, а ведь про наш университет ходит много историй."
D_SS_RIVER_8,"I'll find you in the chat, are you there?","Я найду тебя в чате, ты же есть там?"
D_SS_RIVER_9,Yes OK.,"Да, хорошо."
D_SS_RIVER_10,Good night then.,Спокойной ночи тогда.
THE_NEXT_DAY,The next day,Следующий день
EVENING,Evening,Вечер
SECRET_SOCIETY,Secret Society,Тайное Общество
SS_CHAT_1,"All right, see you tomorrow","Ладно, давай, до завтра"
SS_CHAT_2,"Wait, do you still remember the plan?","Стой, ты же еще помнишь про план?"
SS_CHAT_3,"Yes, Yes.","Да, да."
D_SS_PLAN_1,"I'm sorry, can you help us find this audience?","Простите, а вы не могли бы нам помочь найти эту аудиторию?"
D_SS_PLAN_2,"All right, let me take you.","Ладно, давайте я отведу вас."
D_SS_PLAN_3,"We have such labyrinths, you can get lost.","У нас такие лабиринты, можно и заблудиться."
D_SS_MESSAGE_1,"FROM: Lisa, DATE: 09.08","ОТ: Лиза, ДАТА: 8.09"
D_SS_MESSAGE_2,I opened the door and returned the keys,Я открыла дверь и вернула ключи
D_SS_SECURITY_1,Thank you for helping.,"Спасибо вам, помогли."
D_SS_SECURITY_2,You're welcome.,Да не за что.
D_SS_FIRE_1,We were told that the wiring might be faulty.,"Нам сказали, что проводка, возможно, неисправна."
D_SS_FIRE_2,Lessons were canceled due to the threat of fire.,Пары отменили из-за угрозы пожара.
D_SS_STORE_1,I think this is a coincidence.,"Я думаю, это совпадение."
D_SS_STORE_2,"In your memories, the light went out before you even entered it.","В твоих воспоминаниях ведь свет выключился еще до того, как ты зашел туда."
D_SS_STORE_3,I still don't feel good. How could we even send her there alone?,А мне все равно не по себе. Как мы вообще могли отправить ее туда одну?
D_SS_STORE_4,I'm scared. We should have gone straight to the basement.,"Страшно. Зря мы ушли, надо было сразу идти в подвал."
D_SS_STORE_5,"Okay, maybe it's not too late. Run!","Ладно, может ещё не поздно? Бежим!"
D_SS_THOUGHTS_1,The door was closed.,Дверь была закрыта.
D_SS_THOUGHTS_2,Nothing important was found on the computer.,На компьютере не удалось найти ничего важного.
D_SS_THOUGHTS_3,All in vain.,Всё тщетно.
D_SS_BUS_STOP_1,"So if she doesn't show up before nightfall, they'll start a search operation?","То есть если до ночи не объявится, то начнут поисковую операцию?"
D_SS_BUS_STOP_2,"Yes, but it looks like our story wasn't really believed.","Да, но похоже, в нашу историю не особо поверили."
D_SS_BUS_STOP_3,They still have to check.,Они все равно обязаны проверить.
D_SS_BUS_STOP_4,Now everything has become quite strange.,Теперь все стало совсем странно.
D_SS_BUS_STOP_5,And what should we do now? Is there anything they can do to help?,И что нам теперь делать? Разве они смогут чем-нибудь помочь?
D_SS_BUS_STOP_6,"We must believe in the best, no matter how the situation turns out.","Надо верить в лучшее, как бы ситуация не обернулась."
D_SS_BUS_STOP_7,What do you think will happen next?,"Как думаешь, что будет дальше?"
D_SS_BUS_STOP_8,I don’t think it’s going to get any better.,"Не думаю, что дальше будет лучше."
D_SS_BUS_STOP_9,"That's a pity. I'm not exactly an optimist, but it's too early to despair.","Вот и жаль. Я, конечно, не совсем оптимист, но и отчаиваться рано."
D_SS_BUS_STOP_10,I don't think I can. It was as if everything was gone in a moment. And in the future it will disappear again.,Вряд ли я смогу. Словно в один момент все пропало. И в будущем опять пропадёт.
D_SS_BUS_STOP_11,Do not be discouraged. I will always be there if you need help.,"Не отчаивайся. Я всегда буду рядом, если понадобится помощь. "
