id,en,ru
D_QB_SINGER_1,"Hello, do you know me?","Привет, ты меня знаешь?"
D_QB_SINGER_2,I do not think so…,Не думаю…
D_QB_SINGER_3,They call me Mister Singer!,Меня называют Мистер Певец!
D_QB_SINGER_4,I think we'll meet again. Do not be late.,"Я думаю, мы еще встретимся. Не опаздывай."
D_QB_TALK_1,Something is wrong? You're kind of lost.,Что-то не так? Ты какой-то потерянный.
D_QB_TALK_2,".. I was just thinking. A very strange feeling, not even described in words.",".. Я просто задумался. Очень странное ощущение, даже не описать словами."
D_QB_TALK_3,"Wow, maybe you will go with us then?","Ух, может тогда пойдешь с нами?"
D_QB_TALK_4,Where?,Куда?
D_QB_TALK_5,I do not know. Somewhere. You haven’t been anywhere else. You sat all summer in your room.,Не знаю. Куда-нибудь. Ты же здесь еще нигде не был. Просидел все лето в своей комнате.
D_QB_TALK_6,...,...
D_QB_TALK_7,"Come on, come on!","Ну же, идём!"
A_COUPLE_OF_HOURS_LATER,A couple of hours later ...,Пару часов спустя...
D_QB_SUNSET_1,Thank!,Спасибо!
D_QB_SUNSET_2,"You, too. I did not think that there are still people who appreciate such simple moments.","И тебе тоже. Я и не думала, что еще есть люди, ценящие такие простые моменты."
D_QB_SUNSET_3,I just love beautiful sunsets.,Да я просто люблю красивые закаты.
D_QB_SUNSET_4,Nevertheless thank you.,Всё равно спасибо.
MESSAGE1,Do not forget!,Не забудьте!
MESSAGE2,Tomorrow we have initiation into students,У нас завтра посвящение в студенты
MESSAGE3,The bus will take you to the place of celebration,Автобус доставит вас до места праздника
MESSAGE4,"Yes, be sure to come, last year was a lot of fun!","Да, обязательно приходите, в прошлом году было очень весело!"
YOU_ARE_BACK,You are back!,Ты вернулся!
