id,en,ru
OPEN_THE_DOOR,Open the door,Открыть дверь
D_BUS_1,Do you still think that this was not a dream?,"Ты все еще думаешь, что это был не сон?"
D_BUS_2,I’m sure it was all really. I don’t understand anything ...,"Я будто уверен, всё это было на самом деле. Ничего не понимаю..."
D_BUS_3,The basement and the laboratory?,"И подвал, и лаборатория?"
D_BUS_4,"Yes, if you go down the stairs, you can reach the basement on the minus the first floor.","Да, если спуститься по лестнице, то можно дойти до подвала на минус первом этаже."
D_BUS_5,"However, the door was closed. I do not remember what happened next.","Однако дверь была закрыта. Но я не помню, что было дальше."
D_BUS_6,You just need to ask what is there. Maybe it exists only in your dreams.,"Надо просто спросить, что там. Может быть он существует только в твоих снах."
D_BUS_7,I would like to believe ...,Хотелось бы верить...
D_PHONE_1,Do not sleep?,Не спишь?
D_PHONE_2,Not yet,Пока нет
D_PHONE_3,And what?,А что?
D_PHONE_4,I want to tell you something,Хочу рассказать кое-что
