id,ru,en
D_FNL_NIGHT_1,Почему всё так происходит? Это несправедливо.,Why is this all happening? This is unfair.
D_FNL_THOUGHTS_1,Аа?!...,Ah?! ...
D_FNL_THOUGHTS_2,Что? Почему? Снова? ,What? Why? Again?
D_FNL_THOUGHTS_3,Как я это сделал? Я ли это сделал?,How did i do this? Did I do this?
D_FNL_THOUGHTS_4,Я сошёл с ума? И ведь никто не поверит в эту историю.,"I've gone crazy? And after all, no one will believe in this story."
D_FNL_THOUGHTS_5,Надо думать и быстро. Почему я именно здесь?,I must think quickly. Why am I here?
D_FNL_THOUGHTS_6,Может быть это всё не случайно?,Maybe this is not by chance?
D_FNL_THOUGHTS_7,В прошлый раз взрыв был в подвале. Может мне нужно туда спуститься?,"Last time, the explosion was in the basement. Maybe I need to go down there?"
D_FNL_THOUGHTS_8,А если я умру?,What if I die?
D_FNL_THOUGHTS_9,Но надо хотя бы попытаться вытащить того преподавателя.,But I should at least try to get that teacher out.
GO_BACK,Вернуться,Go back
GO_DOWN,Спуститься,Go down
COMPUTER,Компьютер,Computer
D_FNL_STAIRS_1,Лестница? Ещё ниже?,Stairs? Lower?
D_FNL_SINGER_1,То есть вы были знакомы?,So you knew each other?
D_FNL_SINGER_2,"Да, мы работали вместе.","Yes, we worked together."
D_FNL_SINGER_3,"Эх, хорошее было время…","Ah, it was a good time…"
D_FNL_RIVER_1,Что это было?,What was that?
