id,ru
D_PARTING_NIGHT_1,Почему всё так происходит? Это несправедливо.
D_PARTING_THOUGHTS_1,Аа?!...
D_PARTING_THOUGHTS_2,Что? Почему? Снова? 
D_PARTING_THOUGHTS_3,Как я это сделал? Я ли это сделал?
D_PARTING_THOUGHTS_4,Я сошел с ума? И ведь никто не поверит в эту историю.
D_PARTING_THOUGHTS_5,Надо думать и быстро. Почему я именно здесь?
D_PARTING_THOUGHTS_6,Может быть это всё не случайно?
D_PARTING_THOUGHTS_7,В прошлый раз взрыв был в подвале. Может мне нужно туда спуститься?
D_PARTING_THOUGHTS_8,А если я умру?
D_PARTING_THOUGHTS_9,Но надо хотя бы попытаться вытащить того преподавателя.
GO_BACK,Вернуться
GO_DOWN,Спуститься
COMPUTER,Компьютер
D_PARTING_STAIRS_1,Лестница? Еще ниже?
D_FR_SINGER_1,То есть вы были знакомы?
D_FR_SINGER_2,"Да, мы работали вместе."
D_FR_SINGER_3,"Эх, хорошее было время…"
D_FR_RIVER_1,Что это было?
