id,ru
LOADING,Загрузка
D_ALTERNATE_SCENE,"Хорошо, начнём"
SETTINGS,Настройки
QUIT,Выйти
QUIT_CONFIRMATION,Вы действительно хотите выйти?
YES,Да
NO,Нет
LANG,Язык
AUDIO,Аудио
GRAPHICS,Графика
INFO,Инфо
MUSIC_VOLUME,Громкость музыки
EFFECTS_VOLUME,Громкость эффектов
RESET,Сбросить
VSYNC,Верт. син.
FULLSCREEN,Полный экран
SITE,Открыть сайт
GODOT,Создано при помощи Godot Engine
LEGAL,Каждый персонаж всего лишь результат нашего воображения
NEW_GAME,Новая игра
DELETE,Удалить
TESTERS,Тестеры:
TICKETWINDOW,Окно кассы
LOAD,Загрузить
SAVE,Сохранить
LOAD_GAME,Загрузить игру
CONTINUE,Продолжить
SHOW_CREDITS,Показать титры
