id,ru
D_HP_FIELD_1,Я не помню это место.
D_HP_STREET_1,Привет.
D_HP_STREET_2,Может сегодня еще раз проверить подвал?
D_HP_STREET_3,"Не думаю, что это поможет."
D_HP_STREET_4,Я всё равно пойду до конца.
D_HP_STREET_5,"Надеюсь, что ты передумаешь."
D_HP_STREET_6,Я буду ждать в 4 часа на 3 этаже.
D_HP_STREET_7,"Приходи, если можешь."
D_HP_LETS_GO,Пойдём.
D_HP_NIGHT_1,"Мы дождались ночи, а затем спустились в подвал."
D_HP_STEPS_1,"Эй, смотри!"
TALK,Поговорить
D_HP_BASEMENT_1,Этот компьютер работает!
D_HP_BASEMENT_2,И что там?
D_HP_BASEMENT_3,"Не могу пока что понять, всё очень странно."
D_HP_BASEMENT_4,"Но я скопирую себе всё, что смогу."
D_HP_BASEMENT_5,"Можешь подождать или идти, вроде тут действительно больше ничего нет."
HP_MESSAGE,"Быстрее уходи с пары, буду ждать у остановки. Это важно."
TRY_AGAIN,Попробуй ещё раз
D_HP_RIVER_1,Что произошло?
D_HP_RIVER_2,Я смог открыть некоторые файлы с того компьютера.
D_HP_RIVER_3,"Судя по всему, там что-то очень важное."
D_HP_RIVER_4,"Но ноутбук вдруг выключился, а через окно я увидел полицию."
D_HP_RIVER_5,Тогда я и написал тебе.
D_HP_RIVER_6,А откуда взялась полиция? Они искали тебя?
D_HP_RIVER_7,"Я не знаю, но лучше не попадаться им, пока не разберемся."
D_HP_RIVER_8,…
D_HP_RIVER_9,Что?
D_HP_RIVER_10,Слышишь шаги? Кто-то идет.
D_HP_RIVER_11,Бежим!
D_HP_ML_1,Мы разделились и весь день скрывались от полиции.
D_HP_ML_2,"Ближе к вечеру я пошел туда, где мы договорились встретиться."
D_HP_MACHINE_1,Подожди!
D_HP_MACHINE_2,Не иди туда!
D_HP_MACHINE_3,"Мы все еще не знаем, что находится по ту сторону машины."
D_HP_MACHINE_4,И ещё ничто не возвращалось оттуда.
D_HP_MACHINE_5,"Я не желаю тебе зла, честно."
D_HP_MACHINE_6,Но я не позволю тебе пройти дальше.
D_HP_MACHINE_7,Ну уж нет.
D_HP_MACHINE_8,Мы слишком долго шли к этому моменту.
D_HP_MACHINE_9,"И все мы знаем, что за этим барьером скрыто нечто большее."
D_HP_MACHINE_10,"Я столько раз замечал, как мир внезапно возвращался в прошлое."
D_HP_MACHINE_11,"Это повторялось сотни раз, а помнил всё лишь я. "
D_HP_MACHINE_12,Поэтому у нас нет пути назад.
D_HP_MACHINE_13,Беги! Я выиграю немного времени!
LOOK,Посмотреть
D_HP_GAME_1,Это всё…
D_HP_GAME_2,… лишь игра.
DASHBOARD,Панель мониторинга
CHARACTER_ALEX,Персонаж: Алекс
STATUS_NPC,Статус: НПС
ACTIVE_YES,Активен: да
NUMEROUS_ERRORS,! Многочисленные ошибки !
D_HP_SIM_1,Все эти дни лишь симуляция.
D_HP_SIM_2,Как и я.
D_HP_SIM_3,"Но, судя по всему, был такой момент, когда правила игры перестали действовать на меня."
D_HP_FIX_1,И сейчас у меня есть сила всё исправить.
D_HP_FIX_2,Но нужно выбрать правильный способ.
CONTROL_PANEL,Панель управления
EDIT_THE_WORLD,Редактировать мир
DELETE_ALL_DATA,Удалить все данные
D_HP_DEL_1,Решено. Я попробую ещё раз.
D_HP_DEL_2,У меня получится.
D_HP_DEL_3,Я ведь уже смог изменить игру.
D_HP_DEL_4,Теперь я не отступлю.
D_HP_EDIT_1,Изменить мир?
D_HP_EDIT_2,Здесь не так уж и много возможностей.
D_HP_EDIT_3,"Но выход есть, я думаю."
D_HP_EDIT_4,Я могу редактировать персонажей.
D_HP_EDIT_5,"Ладно, я готов."
D_HP_EDIT_6,…
D_HP_EDIT_7,Прости.
GO_AWAY,Уйти
D_HP_ROOF_1,"Говорят, что с крыши географического факультета открывается хороший вид."
D_HP_ROOF_2,Надо бы посмотреть…
ROOF,Крыша
D_HP_ROOF_3,Привет!
D_HP_ROOF_4,Привет… Мы знакомы?
D_HP_ROOF_5,Не думаю.
D_HP_ROOF_6,Я Лиза.
D_HP_ROOF_7,А я Алекс.
D_HP_ROOF_8,Приятно познакомиться.
D_HP_ROOF_9,Ты же тоже на первом курсе?
D_HP_ROOF_10,Да.
D_HP_ROOF_11,"Думаю, нас ждёт много интересного."
D_HP_ROOF_12,Надеюсь.
THE_END,Конец
THANK_YOU,Спасибо!
