"id","ru"
"CHAPTER_1","Глава 1","Глава 1"
"CHAPTER_2","Глава 2","Глава 2"
"CHAPTER_3","Глава 3","Глава 3"
"CHAPTER_1_NAME","Мечты и реальность","Мечты и реальность"
"CHAPTER_2_NAME","Тайные друзья","Тайные друзья"
"CHAPTER_3_NAME","Луч надежды","Луч надежды"
"BEGINNING","Начало","Начало"
"FIRST_DAYS","Первые дни","Первые дни"
"ACCIDENT","Происшествие","Происшествие"
"FUNERAL","Похороны","Похороны"
"NEW_BEGINNING","Новое начало","Новое начало"
"CELEBRATION","Празднование","Празднование"
"DISAPPEARANCE","Исчезновение","Исчезновение"
"SECRET_SOCIETY","Тайное Общество","Тайное Общество"
"DESPAIR","Отчаяние","Отчаяние"
"HOPE","Надежда","Надежда"
