id,en,ru
D_HOPE_FIELD_1,,Я не помню это место
D_HOPE_STREET_1,,Привет
D_HOPE_STREET_2,,Мы решили сегодня еще раз проверить подвал
D_HOPE_STREET_3,,Ничего не выйдет
D_HOPE_STREET_4,,Мы всё равно пойдем до конца
D_HOPE_STREET_5,,"Надеюсь, что ты передумаешь"
D_HOPE_STREET_6,,Мы собираемся в 4 часа на 3 этаже
D_HOPE_STREET_7,,Приходи
D_HOPE_MATH_1,,Пойдем
D_HOPE_NIGHT_1,,"Мы дождались ночи, а затем спустились в подвал"
D_HOPE_STAIRS_1,,"Эй, смотри!"
D_HOPE_BASEMENT_1,,Этот компьютер работает!
D_HOPE_BASEMENT_2,,И что там?
D_HOPE_BASEMENT_3,,"Не могу пока что понять, всё очень странно"
D_HOPE_BASEMENT_4,,"Но я скопирую себе всё, что смогу"
D_HOPE_BASEMENT_5,,"Можете подождать или идти, вроде тут действительно больше ничего нет"
D_HOPE_RIVER_1,,Что произошло?
D_HOPE_RIVER_2,,Леша смог открыть некоторые файлы с того компьютера
D_HOPE_RIVER_3,,"Сказал, что там нечто невероятно важное."
D_HOPE_RIVER_4,,Предложил встретиться в 6 в кафе неподалеку.
D_HOPE_RIVER_5,,И убежал.
D_HOPE_RIVER_6,,А полиция откуда? Они искали меня?
D_HOPE_RIVER_7,,"Я не знаю, но лучше не попадаться им, пока не разберемся"
D_HOPE_RIVER_8,,…
D_HOPE_RIVER_9,,Что?
D_HOPE_RIVER_10,,Слышишь шаги? Кто-то идет
D_HOPE_RIVER_11,,Бежим
D_HOPE_ML_1,,Мы весь день скрывались от полиции
D_HOPE_ML_2,,"Ближе к вечеру мы пошли туда, где нас должен ждать Леша"
D_HOPE_MACHINE_1,,Подожди!
D_HOPE_MACHINE_2,,Не иди туда!
D_HOPE_MACHINE_3,,"Мы все еще не знаем, что находится по ту сторону машины"
D_HOPE_MACHINE_4,,И ещё ничто не возвращалось оттуда
D_HOPE_MACHINE_5,,"Я не желаю тебе зла, честно"
D_HOPE_MACHINE_6,,Но я не позволю тебе пройти дальше
D_HOPE_MACHINE_7,,Ну уж нет
D_HOPE_MACHINE_8,,Мы слишком долго шли к этому моменту
D_HOPE_MACHINE_9,,"И мы все знаем, что за этим барьером скрыто нечто большее"
