id,ru
D_DSP_STREET_1,Как ты?
D_DSP_STREET_2,Вроде бы все так же.
D_DSP_STREET_3,Ладно. Удачи тогда.
BASEMENT,Подвал
ROOM,Комната
DSP_CHAT_1,"Кстати, в новостях говорили про поиски"
DSP_CHAT_2,Полиция проверяла подвал
DSP_CHAT_3,Больше ничего не сказали
NOVEMBER,Ноябрь
D_DSP_STRANGER_1,"О, это ведь ты искал ту пропавшую девушку?"
D_DSP_STRANGER_2,"Да, это я."
D_DSP_STRANGER_3,А почему твой друг вчера был на вокзале?
D_DSP_STRANGER_4,Вы уже прекратили поиски?
D_DSP_STRANGER_5,Вокзале?
D_DESPAIR_BRIDGE_1,Подожди!
D_DESPAIR_BRIDGE_2,Нео?
D_DESPAIR_BRIDGE_3,Зачем ты уехал? Ты даже ничего не сказал.
D_DESPAIR_BRIDGE_4,Прости.
D_DESPAIR_BRIDGE_5,…
D_DESPAIR_BRIDGE_6,Это же тот певец!
D_DESPAIR_BRIDGE_7,Что вы тут делаете?
D_DESPAIR_BRIDGE_8,Простите меня.
D_DESPAIR_BRIDGE_9,За что?
