id,ru,en
D_DSP_STREET_1,Как ты?,How are you?
D_DSP_STREET_2,Вроде бы все так же.,It seems to be the same.
D_DSP_STREET_3,Ладно. Удачи тогда.,Okay. Good luck then.
BASEMENT,Подвал,Basement
ROOM,Комната,Room
DSP_CHAT_1,"Кстати, в новостях говорили про поиски","By the way, the news was talking about the search"
DSP_CHAT_2,Полиция проверяла подвал,The police were checking the basement
DSP_CHAT_3,Больше ничего не сказали,They didn't say anything else
NOVEMBER,Ноябрь,November
D_DSP_STRANGER_1,"О, это ведь ты искал ту пропавшую девушку?","Oh, you were looking for that missing girl, weren't you?"
D_DSP_STRANGER_2,"Да, это я.","Yes, it's me."
D_DSP_STRANGER_3,А почему твой друг вчера был на вокзале?,Why was your friend at the train station yesterday?
D_DSP_STRANGER_4,Вы уже прекратили поиски?,Have you stopped searching yet?
D_DSP_STRANGER_5,Вокзале?,Train station?
D_DESPAIR_BRIDGE_1,Подожди!,Wait!
D_DESPAIR_BRIDGE_2,Нео?,Neo?
D_DESPAIR_BRIDGE_3,Зачем ты уехал? Ты даже ничего не сказал.,Why did you leave? You didn't even say anything.
D_DESPAIR_BRIDGE_4,Прости.,Sorry.
D_DESPAIR_BRIDGE_5,…,…
D_DESPAIR_BRIDGE_6,Это же тот певец!,That's the singer!
D_DESPAIR_BRIDGE_7,Что вы тут делаете?,What are you doing here?
D_DESPAIR_BRIDGE_8,Простите меня.,Forgive me.
D_DESPAIR_BRIDGE_9,За что?,For what?
