id,en,ru
DSP_MEETING_1,Meet your girlfriend at the Faculty of Humanities,Встретьтесь с подружкой у гумфака
CHECK_PHONE,Check phone,Проверить телефон
ASK_COMMANDANT,Ask the commandant,Спросить коменданта
D_DSP_PHONE_1,Was online 2 hours ago…,Была онлайн 2 часа назад...
D_DSP_COMMANDANT_1,"Excuse me, can you help?","Простите, вы не поможете?"
D_DSP_COMMANDANT_2,"I’ve lost my friend, you won’t tell me, maybe he’s in a dormitory?","Я тут потерял своего друга, вы не подскажете, может он в общежитии?"
D_DSP_COMMANDANT_3,Do you know room’s number?,Знаете номер комнаты?
D_DSP_COMMANDANT_4,225,225
D_DSP_COMMANDANT_5,"Mmm, no, there is no one in the room 225 right now.","Ммм, нет, в 225 сейчас никого нет."
D_DSP_COMMANDANT_6,Okay. Thank.,Ясно. Спасибо.
D_DSP_POLICE_1,The police don't seem to help.,"Похоже, полиция не поможет."
D_DSP_POLICE_2,They don’t even take me seriously.,Они ведь даже не воспринимают меня всерьёз.
D_DSP_WALK_1,"For some reason, today I really want to walk along that street.",Почему-то мне сегодня очень хочется прогуляться по той улице.
D_DSP_THOUGHTS_1,"It feels like I've already been here, but I don’t remember when.","Такое чувство, что я здесь уже был, но не помню когда."
D_DSP_THOUGHTS_2,Although in this city all houses are so similar that it is impossible to distinguish one from another.,"Хотя в этом городе все дома так похожи, что отличить один от другого бывает невозможно."
D_DSP_THOUGHTS_3,And why do I even go here?,И зачем я вообще здесь хожу?
D_DSP_THOUGHTS_4,But maybe there is something good in this. The New Year’s atmosphere is beautiful in its own way.,Но может в этом что-то и есть. Новогодняя атмосфера по-своему прекрасна.
D_DSP_TALK_1,"Good evening, young man. Take a seat if you like.","Вечер добрый, юноша. Присаживайтесь, если хотите."
D_DSP_TALK_2,You are a gardener from our university. What are you doing here?,Вы же садовник из нашего университета. А что вы тут делаете?
D_DSP_TALK_3,I just enjoy the atmosphere.,Просто наслаждаюсь атмосферой.
D_DSP_TALK_4,So far?,Так далеко?
D_DSP_TALK_5,I live a couple of minutes from here.,Я живу в паре минут отсюда.
D_DSP_TALK_6,Aren't you too far to commute to work?,А вам не далековато ездить на работу?
D_DSP_TALK_7,I don't work there. I have been retired for a long time. I just love looking after that garden. So I come every few days.,А я там и не работаю. Я уже давно на пенсии. Мне просто нравится ухаживать за тем садом. Вот я и прихожу раз в несколько дней.
D_DSP_TALK_8,Interesting ... you live in a pretty beautiful place.,Интересно... Вы живете в довольно красивом месте.
D_DSP_TALK_9,"I recently brought a bench here. Not quite myself, my friends helped me. Now it's even nicer here.","Я недавно принес сюда скамейку. Не совсем сам, мне помогли знакомые. Теперь здесь ещё приятнее."
D_DSP_TALK_10,And why do you need all this?,И зачем вам все это?
D_DSP_TALK_11,"Just like that, I wanted to. You'd better tell me: okay, I'm already old, but why are you alone on this day? New Year is coming soon.","Просто так, захотелось. Ты мне лучше скажи: ладно я уже старый, а ты-то почему один в этот день? Новый год ведь уже скоро."
D_DSP_TALK_12,"I don't even know, it didn't work out, that's all. This is not my hometown, I have no friends here yet.","Я даже не знаю, не сложилось, вот и всё. Это не мой родной город, тут у меня ещё нет друзей."
D_DSP_TALK_13,…,…
D_DSP_TALK_14,And lately I have a feeling that I have lost something important.,"А в последнее время у меня чувство, что я потерял нечто важное."
A_FEW_MONTHS_LATER,A few months later,Несколько месяцев спустя
D_DSP_MS_1,"You know, I'm going to leave today. It's a pity that things turned out like this.","Знаешь, я сегодня собираюсь уезжать. Жаль, что всё так обернулось."
D_DSP_MS_2,"Come to the roof of the Faculty of Geography today, please.","Приходи сегодня на крышу географического факультета, пожалуйста."
D_DSP_GARDENER_1,Good morning.,Доброе утро.
D_DSP_GARDENER_2,Oh good morning!,"О, доброе утро!"
D_DSP_GARDENER_3,Did you hear that Mister Singer is leaving?,"Вы слышали, что Мистер Певец уезжает?"
D_DSP_GARDENER_4,"No, I don't see him often, and we talk even less often.","Нет, я его не часто вижу, а разговариваем мы еще реже."
D_DSP_GARDENER_5,So you don't know why?,То есть вы не знаете почему?
D_DSP_GARDENER_6,Maybe he will tell you?,Может он тебе сам расскажет?
D_DSP_GARDENER_7,Maybe. Thank.,Возможно. Спасибо.
D_DSP_STRANGER_1,It's you!,Это же ты!
D_DSP_STRANGER_2,You know me?,Ты меня знаешь?
D_DSP_STRANGER_3,I'm sure! They told me about you!,Я в этом уверена! Мне рассказывали о тебе!
