id,ru,en
D_PARTING_NIGHT_1,Почему всё так происходит? Это несправедливо.,Why is this all happening? This is unfair.
D_PARTING_THOUGHTS_1,Аа?!...,Ah?! ...
D_PARTING_THOUGHTS_2,Что? Почему? Снова? ,What? Why? Again?
D_PARTING_THOUGHTS_3,Как я это сделал? Я ли это сделал?,How did i do this? Did I do this?
D_PARTING_THOUGHTS_4,Я сошел с ума? И ведь никто не поверит в эту историю.,"I've gone crazy? And after all, no one will believe in this story."
D_PARTING_THOUGHTS_5,Надо думать и быстро. Почему я именно здесь?,I must think quickly. Why am I here?
D_PARTING_THOUGHTS_6,Может быть это всё не случайно?,Maybe this is not by chance?
D_PARTING_THOUGHTS_7,В прошлый раз взрыв был в подвале. Может мне нужно туда спуститься?,"Last time, the explosion was in the basement. Maybe I need to go down there?"
D_PARTING_THOUGHTS_8,А если я умру?,What if I die?
D_PARTING_THOUGHTS_9,Но надо хотя бы попытаться вытащить того преподавателя.,But I should at least try to get that teacher out.
GO_BACK,Вернуться,Go back
GO_DOWN,Спуститься,Go down
COMPUTER,Компьютер,Computer
D_PARTING_STAIRS_1,Лестница? Еще ниже?,Stairs? Lower?
D_FR_SINGER_1,То есть вы были знакомы?,So you knew each other?
D_FR_SINGER_2,"Да, мы работали вместе.","Yes, we worked together."
D_FR_SINGER_3,"Эх, хорошее было время…","Ah, it was a good time…"
D_FR_RIVER_1,Что это было?,What was that?
