id,en,ru
A_FEW_DAYS_LATER,A few days later,Несколько дней спустя
MORNING,Morning,Утро
D_UL_SINGER_1,"Oh hello, it's you again!","О, привет, это же снова ты!"
D_UL_SINGER_2,Good morning.,Доброе утро.
D_UL_SINGER_3,Have you already begun studying?,У вас уже началась учеба?
D_UL_SINGER_4,"Yes, the building was almost not damaged, only now it is impossible to go down to the basement.","Да, здание ведь почти не пострадало, только в подвал теперь не спуститься."
D_UL_SINGER_5,Does this situation remind you of anything?,А тебе эта ситуация ничего не напоминает?
D_UL_SINGER_6,I don’t think so.,Не думаю.
D_UL_SINGER_7,Okay then. Good luck with your studies!,Тогда ладно. Удачи в учебе!
D_UL_SINGER_8,Thank you.,Спасибо.
D_UL_TEACHER_1,"You know, he was doing pretty interesting research.","Знаете, а ведь он занимался довольно интересными исследованиями."
D_UL_TEACHER_2,Sometimes one wonders how everything in our world is interconnected.,"Порой удивляешься, как всё в нашем мире взаимосвязанно."
D_UL_TEACHER_3,He was sure that for everything you can find a formula that explains even the most complex things.,"Он был уверен, что для всего можно найти формулу, объясняющую даже самые сложные вещи."
D_UL_TEACHER_4,I hope you someday discover something important.,"Надеюсь, что и вы когда-нибудь откроете что-нибудь важное."
SEPTEMBER_21,September 21st,21 сентября
INITIATION_TO_STUDENTS,Initiation to students,Посвящение в студенты
D_UL_SPEAKER_1,"... It’s a pity, of course, that your student life began this way.","… Жаль, конечно, что ваша студенческая жизнь так началась."
D_UL_SPEAKER_2,But now there's nothing to be done.,Но теперь уже ничего не поделать.
D_UL_SPEAKER_3,"That's all, you can do whatever your heart desires.","На этом все, можете делать все, что душе угодно."
D_UL_SPEAKER_4,Nearby there are houses for those who want to sleep.,Рядом есть домики для желающих поспать.
STREET,Street,Улица
