id,en,ru
D_PARTING_NIGHT_1,Why is this all happening? This is unfair.,Почему всё так происходит? Это несправедливо.
D_PARTING_THOUGHTS_1,Ah?! ...,Аа?!...
D_PARTING_THOUGHTS_2,What? Why? Again?,Что? Почему? Снова? 
D_PARTING_THOUGHTS_3,How did i do this? Did I do this?,Как я это сделал? Я ли это сделал?
D_PARTING_THOUGHTS_4,"I've gone crazy? And after all, no one will believe in this story.",Я сошел с ума? И ведь никто не поверит в эту историю.
D_PARTING_THOUGHTS_5,I must think quickly. Why am I here?,Надо думать и быстро. Почему я именно здесь?
D_PARTING_THOUGHTS_6,Maybe this is not by chance?,Может быть это всё не случайно?
D_PARTING_THOUGHTS_7,"Last time, the explosion was in the basement. Maybe I need to go down there?",В прошлый раз взрыв был в подвале. Может мне нужно туда спуститься?
D_PARTING_THOUGHTS_8,What if I die?,А если я умру?
D_PARTING_THOUGHTS_9,But I should at least try to get that teacher out.,Но надо хотя бы попытаться вытащить того преподавателя.
GO_BACK,Go back,Вернуться
GO_DOWN,Go down,Спуститься
COMPUTER,Computer,Компьютер
D_PARTING_STAIRS_1,Stairs? Lower?,Лестница? Еще ниже?
D_FR_SINGER_1,So you knew each other?,То есть вы были знакомы?
D_FR_SINGER_2,"Yes, we worked together.","Да, мы работали вместе."
D_FR_SINGER_3,"Ah, it was a good time…","Эх, хорошее было время…"
D_FR_RIVER_1,What was that?,Что это было?
