id,ru,en
OPEN_THE_DOOR,Открыть дверь,Open the door
D_CBN_PHONE_1,Не спишь?,Do not sleep?
D_CBN_PHONE_2,Пока нет,Not yet
D_CBN_PHONE_3,А что?,And what?
D_CBN_PHONE_4,Хочу рассказать кое-что,I want to tell you something
D_CBN_BUS_1,"Ты все еще думаешь, что это был не сон?",Do you still think that this was not a dream?
D_CBN_BUS_2,"Я будто уверен, всё это было на самом деле. Ничего не понимаю...",I’m sure it was all really. I don’t understand anything…
D_CBN_BUS_3,"И подвал, и лаборатория?",The basement and the laboratory?
D_CBN_BUS_4,"Да, если спуститься по лестнице, то можно дойти до подвала на минус первом этаже.","Yes, if you go down the stairs, you can reach the basement on the minus the first floor."
D_CBN_BUS_5,"Но я не помню, что было дальше.",But I don’t remember what happened next.
D_CBN_BUS_6,"Надо просто спросить, что там. Может быть он существует только в твоих снах.",You just need to ask what is there. Maybe it exists only in your dreams.
D_CBN_BUS_7,Хотелось бы верить...,I would like to believe ...
