id,en,ru
D_RIVER_1,,"Эй, ты потерял что-нибудь? Ты так внимательно смотришь."
D_RIVER_2,,"Да нет, я просто задумался."
D_RIVER_3,,…
D_RIVER_4,,А о чем ты задумался?
D_RIVER_5,,Это будет звучать довольно нелепо.
D_RIVER_6,,Расскажи!
D_RIVER_7,,"Знаешь, а ведь про наш институт ходит много историй."
D_RIVER_8,,"Мы найдем тебя в чате, ты же есть там?"
D_RIVER_9,,"Да, хорошо."
D_RIVER_10,,Спокойной ночи тогда
CHAT_SS_1,,Почему не спишь?
CHAT_SS_2,,Я только вернулся.
CHAT_SS_3,,"Аа, понял. Ладно, давай, до завтра"
CHAT_SS_4,,"Стой, ты же еще помнишь про план?"
CHAT_SS_5,,"Да, да. Спокойной ночи."
CHAT_SS_6,,Спокойной.
D_RIVER_PLAN_1,,"Простите, а вы не могли бы нам помочь найти этот кабинет?"
D_RIVER_PLAN_2,,"Ладно, давайте я отведу вас. У нас такие лабиринты, можно и заблудиться."
D_MESSAGE_1,,"ОТ: Подружка, ДАТА: 8.09.20"
D_MESSAGE_2,,"Я открыла дверь, ключи вернула"
D_SS_SECURITY_1,,"Спасибо вам, помогли"
D_SS_SECURITY_2,,Да не за что
D_SS_FIRE_1,,"Нам сказали, что проводка, возможно, неисправна."
D_SS_FIRE_2,,Пары отменили из-за угрозы пожара.
D_SS_STORE_1,,"Я думаю, это совпадение. В твоих воспоминаниях ведь свет выключился еще до того, как ты зашел туда."
D_SS_STORE_2,,А мне все равно не по себе. Как мы вообще могли отправить ее туда одну? А ты чего молчишь?
D_SS_STORE_3,,"Страшно. Зря мы ушли, надо было сразу идти в подвал."
D_SS_STORE_4,,"Ладно, может ещё не поздно? Бежим!"
D_SS_THOUGHTS_1,,Дверь была закрыта
D_SS_THOUGHTS_2,,На компьютере не удалось найти ничего важного
D_SS_THOUGHTS_3,,Всё тщетно
D_SS_BUS_STOP_1,,"То есть если до ночи не объявится, то начнут поисковую операцию?"
D_SS_BUS_STOP_2,,"Да, но похоже, в нашу историю не особо поверили."
D_SS_BUS_STOP_3,,Они все равно обязаны проверить.
D_SS_BUS_STOP_4,,Теперь все стало совсем странно.
D_SS_BUS_STOP_5,,И что нам теперь делать? Разве они смогут чем-нибудь помочь?
D_SS_BUS_STOP_6,,"Надо верить в лучшее, как бы ситуация не обернулась."
D_SS_BUS_STOP_7,,"Как думаешь, что будет дальше?"
D_SS_BUS_STOP_8,,"Не думаю, что дальше будет лучше."
D_SS_BUS_STOP_9,,"Вот и жаль. Я, конечно, не совсем оптимист, но и отчаиваться рано."
D_SS_BUS_STOP_10,,Вряд ли я смогу. Словно в один момент все пропало. И в будущем опять пропадёт.
D_SS_BUS_STOP_11,,"Не отчаивайся. Мы всегда будем рядом, если понадобится наша помощь. "
