id,ru
DSP_MEETING_1,Встретьтесь с подружкой у гумфака
CHECK_PHONE,Проверить телефон
ASK_COMMANDANT,Спросить коменданта
D_DSP_PHONE_1,Была онлайн 2 часа назад...
D_DSP_COMMANDANT_1,"Простите, вы не поможете?"
D_DSP_COMMANDANT_2,"Я тут потерял своего друга, вы не подскажете, может он в общежитии?"
D_DSP_COMMANDANT_3,Знаете номер комнаты?
D_DSP_COMMANDANT_4,225
D_DSP_COMMANDANT_5,"Ммм, нет, в 225 сейчас никого нет."
D_DSP_COMMANDANT_6,Ясно. Спасибо.
D_DSP_POLICE_1,"Похоже, полиция не поможет."
D_DSP_POLICE_2,Они ведь даже не воспринимают меня всерьёз.
D_DSP_WALK_1,Почему-то мне сегодня очень хочется прогуляться по той улице.
D_DSP_THOUGHTS_1,"Такое чувство, что я здесь уже был, но не помню когда."
D_DSP_THOUGHTS_2,"Хотя в этом городе все дома так похожи, что отличить один от другого бывает невозможно."
D_DSP_THOUGHTS_3,И зачем я вообще здесь хожу?
D_DSP_THOUGHTS_4,Но может в этом что-то и есть. Новогодняя атмосфера по-своему прекрасна.
D_DSP_TALK_1,"Вечер добрый, юноша. Присаживайтесь, если хотите."
D_DSP_TALK_2,Вы же садовник из нашего университета. А что вы тут делаете?
D_DSP_TALK_3,Просто наслаждаюсь атмосферой.
D_DSP_TALK_4,Так далеко?
D_DSP_TALK_5,Я живу в паре минут отсюда.
D_DSP_TALK_6,А вам не далековато ездить на работу?
D_DSP_TALK_7,А я там и не работаю. Я уже давно на пенсии. Мне просто нравится ухаживать за тем садом. Вот я и прихожу раз в несколько дней.
D_DSP_TALK_8,Интересно... Вы живете в довольно красивом месте.
D_DSP_TALK_9,"Я недавно принес сюда скамейку. Не совсем сам, мне помогли знакомые. Теперь здесь ещё приятнее."
D_DSP_TALK_10,И зачем вам все это?
D_DSP_TALK_11,"Просто так, захотелось. Ты мне лучше скажи: ладно я уже старый, а ты-то почему один в этот день? Новый год ведь уже скоро."
D_DSP_TALK_12,"Я даже не знаю, не сложилось, вот и всё. Это не мой родной город, тут у меня ещё нет друзей."
D_DSP_TALK_13,…
D_DSP_TALK_14,"А в последнее время у меня чувство, что я потерял нечто важное."
A_FEW_MONTHS_LATER,Несколько месяцев спустя
D_DSP_MS_1,"Знаешь, я сегодня собираюсь уезжать. Жаль, что всё так обернулось."
D_DSP_MS_2,"Приходи сегодня на крышу географического факультета, пожалуйста."
D_DSP_GARDENER_1,Доброе утро.
D_DSP_GARDENER_2,"О, доброе утро!"
D_DSP_GARDENER_3,"Вы слышали, что Мистер Певец уезжает?"
D_DSP_GARDENER_4,"Нет, я его не часто вижу, а разговариваем мы еще реже."
D_DSP_GARDENER_5,То есть вы не знаете почему?
D_DSP_GARDENER_6,Может он тебе сам расскажет?
D_DSP_GARDENER_7,Возможно. Спасибо.
D_DSP_STRANGER_1,Это же ты!
D_DSP_STRANGER_2,Ты меня знаешь?
D_DSP_STRANGER_3,Я в этом уверена! Мне рассказывали о тебе!
D_DSP_STRANGER_4,Кто?
D_DSP_STRANGER_5,Не помню. Но меня не покидает странное чувство.
D_DSP_STRANGER_6,А я тут при чем?
D_DSP_STRANGER_7,"Я не знаю, но я не обманываю."
D_DSP_STRANGER_8,"Напишешь мне, если вспомнишь, хорошо? Я уже должен бежать."
D_DSP_ROOF_1,А как вы вообще прошли сюда?
D_DSP_ROOF_2,"И это все, что тебя волнует?"
D_DSP_ROOF_3,Вы про что?
D_DSP_ROOF_4,"Ты же совсем прекратил поиски. Может тебе нужна помощь? Я верю, что здесь что-то не чисто."
D_DSP_ROOF_5,Поиски? Вы о чем?
D_DSP_ROOF_6,Шутишь? Ты не знаешь про пропажу девушки?
D_DSP_ROOF_7,Какой девушки?
D_DSP_ROOF_8,"... эх, жаль. Я до последнего не хотел верить, что такое возможно."
D_DSP_ROOF_9,Может быть вы мне подскажите тогда?
D_DSP_ROOF_10,"Прости, я даже не знаю, что тебе сказать."
D_DSP_ROOF_11,"Ладно, прости, что позвал тебя."
D_DSP_ROOF_12,Спасибо!
D_DSP_NIGHT_1,Я забыл.
D_DSP_NIGHT_2,Я всё забыл.
D_DSP_NIGHT_3,Но ведь так не бывает.
D_DSP_NIGHT_4,Но это произошло.
D_DSP_BRIDGE_1,Ты тоже вспомнил?
D_DSP_BRIDGE_2,Да. Что мы теперь будем делать?
D_DSP_BRIDGE_3,Я ничего не понимаю.
D_DSP_BRIDGE_4,Надо успокоиться. Может пойдем ко мне? Тут уже становится холодно.
D_DSP_BRIDGE_5,"Л-л-ладно, давай."
D_DSP_BRIDGE_6,Ч-ч-ч-что это было?
D_DSP_BRIDGE_7,Ничего не понимаю.
D_DSP_BRIDGE_8,"Эй, подожди!"
D_DSP_BRIDGE_9,Держись!
D_DSP_BRIDGE_10,"Нет, нет!"
