id,ru
D_SS_RIVER_1,"Эй, ты потерял что-нибудь? Ты так внимательно смотришь."
D_SS_RIVER_2,"Да нет, я просто задумался."
D_SS_RIVER_3,…
D_SS_RIVER_4,А о чем ты задумался?
D_SS_RIVER_5,Это будет звучать довольно нелепо.
D_SS_RIVER_6,Расскажи!
D_SS_RIVER_7,"Знаешь, а ведь про наш университет ходит много историй."
D_SS_RIVER_8,"Я найду тебя в чате, ты же есть там?"
D_SS_RIVER_9,"Да, хорошо."
D_SS_RIVER_10,Спокойной ночи тогда.
THE_NEXT_DAY,Следующий день
EVENING,Вечер
SECRET_SOCIETY,Тайное Общество
SS_CHAT_1,"Ладно, давай, до завтра"
SS_CHAT_2,"Стой, ты же еще помнишь про план?"
SS_CHAT_3,"Да, да."
D_SS_PLAN_1,"Простите, а вы не могли бы нам помочь найти эту аудиторию?"
D_SS_PLAN_2,"Ладно, давайте я отведу вас."
D_SS_PLAN_3,"У нас такие лабиринты, можно и заблудиться."
D_SS_MESSAGE_1,"ОТ: Лиза, ДАТА: 8.09"
D_SS_MESSAGE_2,Я открыла дверь и вернула ключи
D_SS_SECURITY_1,"Спасибо вам, помогли."
D_SS_SECURITY_2,Да не за что.
D_SS_FIRE_1,"Нам сказали, что проводка, возможно, неисправна."
D_SS_FIRE_2,Пары отменили из-за угрозы пожара.
D_SS_STORE_1,"Я думаю, это совпадение."
D_SS_STORE_2,"В твоих воспоминаниях ведь свет выключился еще до того, как ты зашел туда."
D_SS_STORE_3,А мне все равно не по себе. Как мы вообще могли отправить ее туда одну?
D_SS_STORE_4,"Страшно. Зря мы ушли, надо было сразу идти в подвал."
D_SS_STORE_5,"Ладно, может ещё не поздно? Бежим!"
D_SS_THOUGHTS_1,Дверь была закрыта.
D_SS_THOUGHTS_2,На компьютере не удалось найти ничего важного.
D_SS_THOUGHTS_3,Всё тщетно.
D_SS_BUS_STOP_1,"То есть если до ночи не объявится, то начнут поисковую операцию?"
D_SS_BUS_STOP_2,"Да, но похоже, в нашу историю не особо поверили."
D_SS_BUS_STOP_3,Они все равно обязаны проверить.
D_SS_BUS_STOP_4,Теперь все стало совсем странно.
D_SS_BUS_STOP_5,И что нам теперь делать? Разве они смогут чем-нибудь помочь?
D_SS_BUS_STOP_6,"Надо верить в лучшее, как бы ситуация не обернулась."
D_SS_BUS_STOP_7,"Как думаешь, что будет дальше?"
D_SS_BUS_STOP_8,"Не думаю, что дальше будет лучше."
D_SS_BUS_STOP_9,"Вот и жаль. Я, конечно, не совсем оптимист, но и отчаиваться рано."
D_SS_BUS_STOP_10,Вряд ли я смогу. Словно в один момент все пропало. И в будущем опять пропадёт.
D_SS_BUS_STOP_11,"Не отчаивайся. Я всегда буду рядом, если понадобится помощь. "
