id,ru,en
D_NB_SINGER_1,"Привет, ты меня знаешь?","Hello, do you know me?"
D_NB_SINGER_2,Не думаю…,I do not think so…
D_NB_SINGER_3,Меня называют Мистер Певец!,They call me Mister Singer!
D_NB_SINGER_4,"Я думаю, мы еще встретимся. Не опаздывай.",I think we'll meet again. Do not be late.
D_NB_TALK_1,Что-то не так? Ты какой-то потерянный.,Something is wrong? You're kind of lost.
D_NB_TALK_2,".. Я просто задумался. Очень странное ощущение, даже не описать словами.",".. I was just thinking. A very strange feeling, not even described in words."
D_NB_TALK_3,"Ух, может тогда пойдешь с нами?","Wow, maybe you will go with us then?"
D_NB_TALK_4,Куда?,Where?
D_NB_TALK_5,Не знаю. Куда-нибудь. Ты же здесь еще нигде не был. Просидел все лето в своей комнате.,I do not know. Somewhere. You haven’t been anywhere else. You sat all summer in your room.
D_NB_TALK_6,...,...
D_NB_TALK_7,"Ну же, идём!","Come on, come on!"
A_COUPLE_OF_HOURS_LATER,Пару часов спустя...,A couple of hours later ...
D_NB_SUNSET_1,Спасибо!,Thank!
D_NB_SUNSET_2,"И тебе тоже. Я и не думала, что еще есть люди, ценящие такие простые моменты.","You, too. I did not think that there are still people who appreciate such simple moments."
D_NB_SUNSET_3,Да я просто люблю красивые закаты.,I just love beautiful sunsets.
D_NB_SUNSET_4,Всё равно спасибо.,Nevertheless thank you.
NB_MESSAGE1,Не забудьте!,Do not forget!
NB_MESSAGE2,У нас завтра посвящение в студенты,Tomorrow we have initiation into students
NB_MESSAGE3,Автобус доставит вас до места праздника,The bus will take you to the place of celebration
NB_MESSAGE4,"Да, обязательно приходите, в прошлом году было очень весело!","Yes, be sure to come, last year was a lot of fun!"
YOU_ARE_BACK,Ты вернулся!,You are back!
