id,en,ru
D_DSP_STREET_1,How are you?,Как ты?
D_DSP_STREET_2,It seems to be the same.,Вроде бы все так же.
D_DSP_STREET_3,Okay. Good luck then.,Ладно. Удачи тогда.
BASEMENT,Basement,Подвал
ROOM,Room,Комната
DSP_CHAT_1,"By the way, the news was talking about the search","Кстати, в новостях говорили про поиски"
DSP_CHAT_2,The police were checking the basement,Полиция проверяла подвал
DSP_CHAT_3,They didn't say anything else,Больше ничего не сказали
NOVEMBER,November,Ноябрь
D_DSP_STRANGER_1,"Oh, you were looking for that missing girl, weren't you?","О, это ведь ты искал ту пропавшую девушку?"
D_DSP_STRANGER_2,"Yes, it's me.","Да, это я."
D_DSP_STRANGER_3,Why was your friend at the train station yesterday?,А почему твой друг вчера был на вокзале?
D_DSP_STRANGER_4,Have you stopped searching yet?,Вы уже прекратили поиски?
D_DSP_STRANGER_5,Train station?,Вокзале?
D_DESPAIR_BRIDGE_1,Wait!,Подожди!
D_DESPAIR_BRIDGE_2,Neo?,Нео?
D_DESPAIR_BRIDGE_3,Why did you leave? You didn't even say anything.,Зачем ты уехал? Ты даже ничего не сказал.
D_DESPAIR_BRIDGE_4,Sorry.,Прости.
D_DESPAIR_BRIDGE_5,…,…
D_DESPAIR_BRIDGE_6,That's the singer!,Это же тот певец!
D_DESPAIR_BRIDGE_7,What are you doing here?,Что вы тут делаете?
D_DESPAIR_BRIDGE_8,Forgive me.,Простите меня.
D_DESPAIR_BRIDGE_9,For what?,За что?
