id,en,ru
GO_BACK,Go back,Вернуться
GO_DOWN,Go down,Спуститься
COMPUTER,Computer,Компьютер
D_BASEMENT_STAIRS_1,Stairs? Lower?,Лестница? Еще ниже?
D_BSM_THOUGHTS_1,Ah?! ...,Аа?!...
D_BSM_THOUGHTS_2,What? Why? Again?,Что? Почему? Снова? 
D_BSM_THOUGHTS_3,How did i do this? Did I do this?,Как я это сделал? Я ли это сделал?
D_BSM_THOUGHTS_4,"I've gone crazy? And after all, no one will believe in this story.",Я сошел с ума? И ведь никто не поверит в эту историю.
D_BSM_THOUGHTS_5,I must think quickly. Why am I here?,Надо думать и быстро. Почему я именно здесь?
D_BSM_THOUGHTS_6,Maybe this is not by chance?,Может быть это всё не случайно?
D_BSM_THOUGHTS_7,"Last time, the explosion was in the basement. Maybe I need to go down there?",В прошлый раз взрыв был в подвале. Может мне нужно туда спуститься?
D_BSM_THOUGHTS_8,What if I die?,А если я умру?
D_BSM_THOUGHTS_9,But I should at least try to get that teacher out.,Но надо хотя бы попытаться вытащить того преподавателя.
